Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>"
2042324875,"Dec 29, 2018, 1:20:10 PM",Afternoon Ride,Ride,,7132,42.48,,false,,activities/2042324875.gpx,26.308399200439453,,7132.0,7028.0,42488.30078125,13.100000381469727,,275.026123046875,275.82598876953125,230.6999969482422,379.6000061035156,11.399999618530273,-0.0018828712636604905,,,,,,,,68.14517974853516,534.0007934570312,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136435968,"Feb 10, 2019, 9:33:30 AM",Morning Ride,Ride,,7051,42.28,,false,,activities/2136435968.gpx,26.308399200439453,,7051.0,6986.0,42284.30078125,14.199999809265137,,275.984375,276.1839904785156,230.6999969482422,379.6000061035156,11.199999809265137,-0.00047298878780566156,,,,,,,,63.34385299682617,493.41033935546875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154973889,"Feb 17, 2019, 8:49:20 AM",Morning Ride,Ride,,6432,42.15,,false,,activities/2154973889.gpx,26.308399200439453,,6432.0,6429.0,42149.19921875,14.5,,275.02569580078125,275.72601318359375,230.6999969482422,379.6000061035156,11.199999809265137,-0.0016607670113444328,,,,,,,,75.40802001953125,540.5498046875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171381457,"Feb 24, 2019, 8:56:09 AM",Morning Ride,Ride,,6914,42.36,,false,,activities/2171381457.gpx,26.308399200439453,,6914.0,6820.0,42367.8984375,13.199999809265137,,276.50555419921875,277.20599365234375,230.6999969482422,379.6000061035156,11.300000190734863,-0.0016521941870450974,,,,,,,,71.38953399658203,542.8671875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219263123,"Mar 17, 2019, 9:26:52 AM",Morning Ride,Ride,,7101,42.85,,false,,activities/2219263123.gpx,26.308399200439453,,7101.0,6962.0,42849.30078125,14.100000381469727,,472.04656982421875,471.4469909667969,232.89999389648438,489.0,14.100000381469727,0.001400256296619773,,,,,,,,77.71370697021484,603.2626953125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309352719,"Apr 22, 2019, 7:48:23 AM",Morning Ride,Ride,,6656,42.72,,false,,activities/2309352719.gpx,26.308399200439453,,6656.0,6483.0,42727.1015625,14.699999809265137,,278.7670593261719,278.6669921875,230.6999969482422,379.6000061035156,11.800000190734863,0.00023404350213240832,,,,,,,,81.78009033203125,591.151123046875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324799485,"Apr 28, 2019, 8:09:04 AM",Morning Ride,Ride,,6479,42.23,,false,,activities/2324799485.gpx,26.308399200439453,,6479.0,6357.0,42230.80078125,13.399999618530273,,275.2205505371094,275.22100830078125,230.6999969482422,379.6000061035156,11.5,0.0,,,,,,,,82.37513732910156,583.8792114257812,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617724962,"Aug 14, 2019, 6:53:27 AM",Morning Ride,Ride,,8506,42.08,,false,,activities/2617724962.gpx,26.308399200439453,,8506.0,6835.0,42080.69921875,14.0,,275.1459655761719,274.5459899902344,230.6999969482422,379.6000061035156,11.399999618530273,0.0014258318115025759,,,,,,,,67.7957763671875,516.6734619140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664097426,"Aug 30, 2019, 7:46:43 AM",Morning Ride,Ride,,8381,49.86,,false,,activities/2664097426.gpx,26.308399200439453,,8381.0,8084.0,49861.19921875,13.699999809265137,,328.9685974121094,329.66900634765625,230.6999969482422,379.6000061035156,11.800000190734863,-0.0014038971858099103,,,,,,,,67.77923583984375,610.9386596679688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669625727,"Sep 1, 2019, 7:07:19 AM",Morning Ride,Ride,,8017,49.48,,false,,activities/2669625727.gpx,26.308399200439453,,8017.0,7818.0,49488.3984375,13.800000190734863,,322.9288330078125,324.22900390625,230.6999969482422,379.6000061035156,11.199999809265137,-0.002626878209412098,,,,,,,,69.42594146728516,605.1904296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
