#DATE,GENERATED,EXPORTED,USED,PEAK_POWER,PEAK_TIME,CONDITION,TEMPERATURE_MIN,TEMPERATURE_MAX,COMMENTS,IMPORT_PEAK,IMPORT_OFF_PEAK,IMPORT_SHOULDER,CREDIT,DEBIT
26/06/19,31030,,,3743,14:25,Fine,0.00,58.00,"Updated 21:05 UTC+2:00",,,,,
25/06/19,31410,,,3780,14:25,Fine,29.00,58.00,"Updated 21:00 UTC+2:00",,,,,
24/06/19,29308,,,3957,13:45,Fine,31.00,58.00,"Updated 21:00 UTC+2:00",,,,,
23/06/19,33715,,,4002,14:45,Fine,27.00,58.00,"Updated 21:00 UTC+2:00",,,,,
22/06/19,20512,,,4431,13:20,Mostly Cloudy,28.00,55.00,"Updated 21:05 UTC+2:00",,,,,
21/06/19,16383,,,3870,13:10,Mostly Cloudy,0.00,54.00,"Updated 19:45 UTC+2:00",,,,,
20/06/19,24195,,,4498,12:55,Partly Cloudy,0.00,58.00,"Updated 20:45 UTC+2:00",,,,,
19/06/19,32121,,,3994,14:35,Fine,0.00,58.00,"Updated 21:05 UTC+2:00",,,,,
18/06/19,28990,,,4660,15:00,Fine,0.00,58.00,"Updated 21:05 UTC+2:00",,,,,
17/06/19,32863,,,3968,12:25,Fine,0.00,58.00,"Updated 21:00 UTC+2:00",,,,,
16/06/19,33623,,,4042,14:05,Fine,27.00,58.00,"Updated 21:05 UTC+2:00",,,,,
15/06/19,26644,,,4221,14:40,Partly Cloudy,28.00,56.00,"Updated 21:10 UTC+2:00",,,,,
14/06/19,29522,,,4427,14:55,Fine,27.00,57.00,"Updated 21:00 UTC+2:00",,,,,
13/06/19,32619,,,4143,14:40,Fine,27.00,57.00,"Updated 21:00 UTC+2:00",,,,,
12/06/19,32074,,,4570,14:05,Fine,0.00,59.00,"Updated 20:55 UTC+2:00",,,,,
11/06/19,18519,,,3539,12:40,Mostly Cloudy,28.00,46.00,"Updated 20:50 UTC+2:00",,,,,
10/06/19,14358,,,4167,16:35,Mostly Cloudy,0.00,49.00,"Updated 20:05 UTC+2:00",,,,,
09/06/19,16997,,,4631,12:10,Mostly Cloudy,28.00,49.00,"Updated 21:00 UTC+2:00",,,,,
08/06/19,33581,,,4326,14:40,Fine,28.00,58.00,"Updated 21:00 UTC+2:00",,,,,
07/06/19,21742,,,4416,13:45,Mostly Cloudy,30.00,54.00,"Updated 20:45 UTC+2:00",,,,,
06/06/19,27071,,,4910,14:20,Partly Cloudy,32.00,58.00,"Updated 20:55 UTC+2:00",,,,,
05/06/19,30746,,,4252,14:35,Fine,30.00,60.00,"Updated 21:00 UTC+2:00",,,,,
04/06/19,31601,,,3890,14:15,Fine,0.00,60.00,"Updated 21:00 UTC+2:00",,,,,
03/06/19,30331,,,4004,14:30,Fine,30.00,61.00,"Updated 19:45 UTC+2:00",,,,,
02/06/19,33450,,,4006,14:15,Fine,30.00,60.00,"Updated 21:00 UTC+2:00",,,,,
01/06/19,33967,,,4074,14:10,Fine,28.00,60.00,"Updated 20:55 UTC+2:00",,,,,
31/05/19,32503,,,5079,14:15,Fine,0.00,57.00,"Updated 20:55 UTC+2:00",,,,,
30/05/19,34935,,,4143,14:05,Fine,27.00,59.00,"Updated 20:55 UTC+2:00",,,,,
29/05/19,27883,,,4850,14:45,Fine,0.00,57.00,"Updated 21:00 UTC+2:00",,,,,
28/05/19,19919,,,4823,11:45,Mostly Cloudy,26.00,51.00,"Updated 20:25 UTC+2:00",,,,,
27/05/19,9088,,,1417,17:15,Cloudy,26.00,41.00,"Updated 20:35 UTC+2:00",,,,,
26/05/19,23585,,,4543,13:15,Partly Cloudy,28.00,54.00,"Updated 20:55 UTC+2:00",,,,,
25/05/19,24963,,,4379,14:40,Partly Cloudy,30.00,60.00,"Updated 20:15 UTC+2:00",,,,,
24/05/19,24913,,,4279,14:35,Partly Cloudy,30.00,59.00,"Updated 20:40 UTC+2:00",,,,,
23/05/19,34120,,,4227,14:25,Fine,28.00,59.00,"Updated 20:50 UTC+2:00",,,,,
22/05/19,34467,,,4415,14:05,Fine,28.00,59.00,"Updated 20:50 UTC+2:00",,,,,
21/05/19,29608,,,4201,14:20,Fine,0.00,57.00,"Updated 20:40 UTC+2:00",,,,,
20/05/19,20340,,,5448,14:55,Mostly Cloudy,22.00,53.00,"Updated 20:50 UTC+2:00",,,,,
19/05/19,13262,,,2679,14:00,Cloudy,0.00,44.00,"Updated 20:30 UTC+2:00",,,,,
18/05/19,6110,,,1229,12:05,Cloudy,0.00,36.00,"Updated 20:10 UTC+2:00",,,,,
17/05/19,7374,,,2308,14:25,Cloudy,27.00,42.00,"Updated 20:00 UTC+2:00",,,,,
16/05/19,30116,,,4393,16:15,Fine,26.00,58.00,"Updated 20:10 UTC+2:00",,,,,
15/05/19,35714,,,4751,15:15,Fine,26.00,60.00,"Updated 20:40 UTC+2:00",,,,,
14/05/19,22731,,,5059,14:10,Partly Cloudy,28.00,60.00,"Updated 20:00 UTC+2:00",,,,,
13/05/19,29041,,,5426,13:20,Fine,0.00,58.00,"Updated 20:35 UTC+2:00",,,,,
12/05/19,24578,,,5441,14:20,Partly Cloudy,25.00,58.00,"Updated 20:35 UTC+2:00",,,,,
11/05/19,25941,,,5737,14:30,Partly Cloudy,0.00,54.00,"Updated 20:30 UTC+2:00",,,,,
10/05/19,29479,,,4680,14:30,Fine,24.00,56.00,"Updated 20:30 UTC+2:00",,,,,
09/05/19,30894,,,4771,13:10,Fine,0.00,55.00,"Updated 20:30 UTC+2:00",,,,,
08/05/19,4162,,,1444,10:05,Showers,0.00,36.00,"Updated 19:45 UTC+2:00",,,,,
07/05/19,29664,,,5101,14:30,Fine,26.00,55.00,"Updated 20:10 UTC+2:00",,,,,
06/05/19,36016,,,4482,14:05,Fine,23.00,56.00,"Updated 20:30 UTC+2:00",,,,,
05/05/19,26201,,,5226,13:45,Partly Cloudy,0.00,55.00,"Updated 20:20 UTC+2:00",,,,,
04/05/19,26210,,,5145,13:45,Partly Cloudy,0.00,56.00,"Updated 20:25 UTC+2:00",,,,,
03/05/19,19444,,,5447,12:40,Mostly Cloudy,0.00,51.00,"Updated 20:20 UTC+2:00",,,,,
02/05/19,22608,,,4964,13:55,Partly Cloudy,29.00,54.00,"Updated 20:25 UTC+2:00",,,,,
01/05/19,33870,,,4196,14:15,Fine,28.00,59.00,"Updated 20:20 UTC+2:00",,,,,
30/04/19,34538,,,4441,13:30,Fine,27.00,59.00,"Updated 20:25 UTC+2:00",,,,,
29/04/19,32125,,,4801,12:50,Fine,26.00,57.00,"Updated 20:25 UTC+2:00",,,,,
28/04/19,23644,,,5371,14:20,Partly Cloudy,26.00,58.00,"Updated 20:20 UTC+2:00",,,,,
27/04/19,33512,,,4327,14:30,Fine,24.00,57.00,"Updated 20:20 UTC+2:00",,,,,
26/04/19,23208,,,4621,14:35,Partly Cloudy,0.00,56.00,"Updated 20:15 UTC+2:00",,,,,
25/04/19,9964,,,4236,12:30,Cloudy,24.00,46.00,"Updated 19:40 UTC+2:00",,,,,
24/04/19,15306,,,5245,15:50,Mostly Cloudy,0.00,51.00,"Updated 20:10 UTC+2:00",,,,,
23/04/19,4427,,,792,13:00,Showers,26.00,37.00,"Updated 19:25 UTC+2:00",,,,,
22/04/19,20275,,,4746,14:10,Mostly Cloudy,0.00,52.00,"Updated 20:05 UTC+2:00",,,,,
21/04/19,18014,,,4673,13:35,Mostly Cloudy,26.00,51.00,"Updated 20:10 UTC+2:00",,,,,
20/04/19,27699,,,4689,12:55,Fine,28.00,57.00,"Updated 20:00 UTC+2:00",,,,,
19/04/19,30046,,,4737,14:20,Fine,26.00,56.00,"Updated 20:10 UTC+2:00",,,,,
18/04/19,27482,,,4147,14:10,Partly Cloudy,28.00,55.00,"Updated 20:05 UTC+2:00",,,,,
17/04/19,30808,,,4166,14:20,Fine,25.00,56.00,"Updated 20:05 UTC+2:00",,,,,
16/04/19,23007,,,4374,16:10,Partly Cloudy,27.00,51.00,"Updated 19:55 UTC+2:00",,,,,
15/04/19,23486,,,5168,13:15,Partly Cloudy,26.00,57.00,"Updated 20:05 UTC+2:00",,,,,
14/04/19,25960,,,5147,15:20,Partly Cloudy,23.00,54.00,"Updated 20:00 UTC+2:00",,,,,
13/04/19,15658,,,5140,12:45,Mostly Cloudy,0.00,50.00,"Updated 19:50 UTC+2:00",,,,,
12/04/19,19253,,,4945,12:25,Mostly Cloudy,0.00,51.00,"Updated 20:00 UTC+2:00",,,,,
11/04/19,8143,,,2374,13:25,Cloudy,24.00,41.00,"Updated 19:50 UTC+2:00",,,,,
10/04/19,20050,,,4800,14:30,Mostly Cloudy,0.00,52.00,"Updated 19:30 UTC+2:00",,,,,
09/04/19,27245,,,4464,15:40,Partly Cloudy,26.00,56.00,"Updated 20:00 UTC+2:00",,,,,
08/04/19,32509,,,4332,14:25,Fine,23.00,56.00,"Updated 19:55 UTC+2:00",,,,,
07/04/19,10181,,,2316,13:30,Cloudy,0.00,41.00,"Updated 19:45 UTC+2:00",,,,,
06/04/19,18478,,,5007,15:05,Mostly Cloudy,27.00,54.00,"Updated 20:40 UTC+2:00",,,,,
05/04/19,31175,,,4209,14:15,Fine,26.00,55.00,"Updated 19:50 UTC+2:00",,,,,
04/04/19,11675,,,4891,14:10,Cloudy,24.00,49.00,"Updated 18:50 UTC+2:00",,,,,
03/04/19,11183,,,3209,12:15,Cloudy,0.00,47.00,"Updated 19:10 UTC+2:00",,,,,
02/04/19,20654,,,4037,13:55,Mostly Cloudy,0.00,53.00,"Updated 19:40 UTC+2:00",,,,,
01/04/19,24473,,,3996,14:30,Partly Cloudy,28.00,55.00,"Updated 19:40 UTC+2:00",,,,,
31/03/19,29251,,,3990,14:15,Fine,31.00,56.00,"Updated 19:45 UTC+2:00",,,,,
30/03/19,29002,,,4003,13:05,Fine,25.00,55.00,"Updated 18:45 UTC+1:00",,,,,
29/03/19,28966,,,4068,13:30,Fine,25.00,54.00,"Updated 18:45 UTC+1:00",,,,,
28/03/19,29077,,,4011,13:20,Fine,26.00,54.00,"Updated 18:40 UTC+1:00",,,,,
27/03/19,29387,,,4083,13:10,Fine,26.00,55.00,"Updated 18:45 UTC+1:00",,,,,
26/03/19,29871,,,4225,13:30,Fine,26.00,56.00,"Updated 18:40 UTC+1:00",,,,,
25/03/19,27521,,,3981,13:35,Fine,27.00,55.00,"Updated 18:40 UTC+1:00",,,,,
24/03/19,27967,,,3921,13:10,Fine,28.00,55.00,"Updated 18:40 UTC+1:00",,,,,
23/03/19,27557,,,3847,13:20,Fine,27.00,54.00,"Updated 18:35 UTC+1:00",,,,,
22/03/19,28526,,,3966,13:00,Fine,25.00,54.00,"Updated 18:35 UTC+1:00",,,,,
21/03/19,28903,,,4007,13:25,Fine,26.00,54.00,"Updated 18:35 UTC+1:00",,,,,
20/03/19,27133,,,4698,12:40,Partly Cloudy,24.00,54.00,"Updated 18:35 UTC+1:00",,,,,
19/03/19,28558,,,4643,12:10,Fine,26.00,54.00,"Updated 18:35 UTC+1:00",,,,,
18/03/19,25724,,,4059,13:10,Partly Cloudy,26.00,55.00,"Updated 18:30 UTC+1:00",,,,,
17/03/19,5685,,,1279,16:15,Cloudy,25.00,38.00,"Updated 18:15 UTC+1:00",,,,,
16/03/19,26906,,,3986,13:35,Partly Cloudy,0.00,54.00,"Updated 18:25 UTC+1:00",,,,,
15/03/19,25179,,,4000,14:05,Partly Cloudy,26.00,54.00,"Updated 18:30 UTC+1:00",,,,,
14/03/19,25505,,,3962,13:35,Partly Cloudy,25.00,52.00,"Updated 18:25 UTC+1:00",,,,,
13/03/19,28476,,,4168,14:15,Fine,25.00,54.00,"Updated 18:25 UTC+1:00",,,,,
12/03/19,27369,,,4257,13:30,Partly Cloudy,26.00,54.00,"Updated 18:20 UTC+1:00",,,,,
11/03/19,22859,,,5042,13:25,Partly Cloudy,27.00,55.00,"Updated 18:20 UTC+1:00",,,,,
10/03/19,24389,,,4295,12:30,Partly Cloudy,23.00,52.00,"Updated 18:15 UTC+1:00",,,,,
09/03/19,25330,,,3910,13:30,Partly Cloudy,25.00,49.00,"Updated 18:20 UTC+1:00",,,,,
08/03/19,25218,,,3811,13:15,Partly Cloudy,26.00,52.00,"Updated 18:15 UTC+1:00",,,,,
07/03/19,14314,,,4518,12:55,Mostly Cloudy,0.00,48.00,"Updated 18:05 UTC+1:00",,,,,
06/03/19,10833,,,3255,13:35,Cloudy,27.00,45.00,"Updated 17:55 UTC+1:00",,,,,
05/03/19,25343,,,3769,13:20,Partly Cloudy,24.00,53.00,"Updated 18:10 UTC+1:00",,,,,
04/03/19,19271,,,3857,13:40,Mostly Cloudy,0.00,49.00,"Updated 18:10 UTC+1:00",,,,,
03/03/19,20761,,,4155,14:05,Mostly Cloudy,26.00,52.00,"Updated 18:05 UTC+1:00",,,,,
02/03/19,20401,,,4581,13:40,Mostly Cloudy,27.00,52.00,"Updated 18:15 UTC+1:00",,,,,
01/03/19,25079,,,3781,13:30,Partly Cloudy,26.00,53.00,"Updated 18:10 UTC+1:00",,,,,
28/02/19,22840,,,3588,13:25,Partly Cloudy,26.00,51.00,"Updated 18:05 UTC+1:00",,,,,
27/02/19,23050,,,3515,13:20,Partly Cloudy,24.00,51.00,"Updated 18:05 UTC+1:00",,,,,
26/02/19,19941,,,3895,13:20,Mostly Cloudy,23.00,49.00,"Updated 18:10 UTC+1:00",,,,,
25/02/19,23409,,,3634,12:55,Partly Cloudy,24.00,50.00,"Updated 18:00 UTC+1:00",,,,,
24/02/19,23629,,,3670,13:35,Partly Cloudy,25.00,50.00,"Updated 18:05 UTC+1:00",,,,,
23/02/19,13475,,,3912,13:00,Cloudy,26.00,50.00,"Updated 17:45 UTC+1:00",,,,,
22/02/19,23846,,,3728,13:20,Partly Cloudy,24.00,51.00,"Updated 18:00 UTC+1:00",,,,,
21/02/19,22016,,,3531,13:55,Partly Cloudy,25.00,49.00,"Updated 17:55 UTC+1:00",,,,,
20/02/19,21333,,,3535,13:30,Mostly Cloudy,25.00,49.00,"Updated 18:00 UTC+1:00",,,,,
19/02/19,21854,,,3496,12:50,Mostly Cloudy,25.00,49.00,"Updated 17:55 UTC+1:00",,,,,
18/02/19,21691,,,3547,13:25,Mostly Cloudy,26.00,50.00,"Updated 17:55 UTC+1:00",,,,,
17/02/19,21667,,,3470,13:30,Mostly Cloudy,25.00,50.00,"Updated 17:50 UTC+1:00",,,,,
16/02/19,20734,,,3450,13:20,Mostly Cloudy,24.00,49.00,"Updated 17:50 UTC+1:00",,,,,
15/02/19,21467,,,3439,13:55,Mostly Cloudy,25.00,49.00,"Updated 17:45 UTC+1:00",,,,,
14/02/19,22274,,,3596,13:10,Partly Cloudy,23.00,49.00,"Updated 17:50 UTC+1:00",,,,,
13/02/19,21202,,,3448,13:05,Mostly Cloudy,24.00,49.00,"Updated 17:50 UTC+1:00",,,,,
12/02/19,17880,,,3709,13:00,Mostly Cloudy,22.00,49.00,"Updated 17:40 UTC+1:00",,,,,
11/02/19,22523,,,3687,13:40,Partly Cloudy,22.00,49.00,"Updated 17:45 UTC+1:00",,,,,
10/02/19,6018,,,2975,14:30,Cloudy,22.00,42.00,"Updated 17:25 UTC+1:00",,,,,
09/02/19,15722,,,3178,13:05,Mostly Cloudy,21.00,46.00,"Updated 17:40 UTC+1:00",,,,,
08/02/19,17946,,,3329,13:35,Mostly Cloudy,24.00,46.00,"Updated 17:40 UTC+1:00",,,,,
07/02/19,8631,,,3110,15:50,Cloudy,24.00,40.00,"Updated 17:40 UTC+1:00",,,,,
06/02/19,21032,,,3477,13:40,Mostly Cloudy,23.00,49.00,"Updated 17:40 UTC+1:00",,,,,
05/02/19,20349,,,3383,13:25,Mostly Cloudy,21.00,48.00,"Updated 17:35 UTC+1:00",,,,,
04/02/19,20333,,,3452,13:05,Mostly Cloudy,23.00,47.00,"Updated 17:30 UTC+1:00",,,,,
03/02/19,11607,,,3890,14:10,Cloudy,19.00,46.00,"Updated 17:30 UTC+1:00",,,,,
02/02/19,79,,,38,13:20,Showers,0.00,29.00,"Updated 14:30 UTC+1:00",,,,,
01/02/19,4,,,15,11:35,Showers,0.00,29.00,"Updated 14:45 UTC+1:00",,,,,
31/01/19,7438,,,2913,11:35,Cloudy,20.00,40.00,"Updated 17:15 UTC+1:00",,,,,
30/01/19,5858,,,1628,16:05,Cloudy,21.00,37.00,"Updated 17:30 UTC+1:00",,,,,
29/01/19,16765,,,3387,13:15,Mostly Cloudy,24.00,48.00,"Updated 17:20 UTC+1:00",,,,,
28/01/19,19290,,,3289,13:50,Mostly Cloudy,22.00,48.00,"Updated 17:25 UTC+1:00",,,,,
27/01/19,1638,,,549,10:05,Showers,0.00,31.00,"Updated 16:50 UTC+1:00",,,,,
26/01/19,14945,,,3279,14:25,Mostly Cloudy,21.00,46.00,"Updated 17:20 UTC+1:00",,,,,
25/01/19,19162,,,3277,13:55,Mostly Cloudy,23.00,48.00,"Updated 17:20 UTC+1:00",,,,,
24/01/19,9590,,,3107,14:00,Cloudy,0.00,45.00,"Updated 17:20 UTC+1:00",,,,,
23/01/19,2224,,,617,10:40,Showers,21.00,32.00,"Updated 16:35 UTC+1:00",,,,,
22/01/19,16585,,,3063,13:30,Mostly Cloudy,22.00,46.00,"Updated 17:10 UTC+1:00",,,,,
21/01/19,16170,,,3025,13:25,Mostly Cloudy,21.00,46.00,"Updated 17:10 UTC+1:00",,,,,
20/01/19,16167,,,3067,13:35,Mostly Cloudy,21.00,46.00,"Updated 17:10 UTC+1:00",,,,,
19/01/19,4963,,,1736,14:20,Showers,0.00,37.00,"Updated 16:50 UTC+1:00",,,,,
18/01/19,16349,,,3114,14:00,Mostly Cloudy,23.00,46.00,"Updated 17:10 UTC+1:00",,,,,
17/01/19,12729,,,3196,13:25,Cloudy,24.00,38.00,"Updated 17:05 UTC+1:00",,,,,
16/01/19,16186,,,2925,13:30,Mostly Cloudy,25.00,46.00,"Updated 17:05 UTC+1:00",,,,,
15/01/19,16525,,,3144,13:40,Mostly Cloudy,24.00,47.00,"Updated 17:10 UTC+1:00",,,,,
14/01/19,16378,,,2932,13:00,Mostly Cloudy,25.00,47.00,"Updated 17:05 UTC+1:00",,,,,
13/01/19,14736,,,3003,12:40,Mostly Cloudy,24.00,46.00,"Updated 17:00 UTC+1:00",,,,,
12/01/19,15526,,,2965,13:25,Mostly Cloudy,22.00,46.00,"Updated 17:05 UTC+1:00",,,,,
11/01/19,15049,,,3137,13:10,Mostly Cloudy,23.00,47.00,"Updated 17:05 UTC+1:00",,,,,
10/01/19,16759,,,3057,13:15,Mostly Cloudy,24.00,46.00,"Updated 17:00 UTC+1:00",,,,,
09/01/19,14838,,,3160,11:50,Mostly Cloudy,23.00,46.00,"Updated 17:00 UTC+1:00",,,,,
08/01/19,9257,,,2674,12:35,Cloudy,22.00,42.00,"Updated 16:55 UTC+1:00",,,,,
07/01/19,15564,,,2875,12:50,Mostly Cloudy,24.00,46.00,"Updated 16:55 UTC+1:00",,,,,
06/01/19,15664,,,2869,13:20,Mostly Cloudy,24.00,46.00,"Updated 16:55 UTC+1:00",,,,,
05/01/19,15024,,,2942,13:30,Mostly Cloudy,21.00,45.00,"Updated 17:00 UTC+1:00",,,,,
04/01/19,10653,,,3205,13:20,Cloudy,24.00,44.00,"Updated 16:50 UTC+1:00",,,,,
03/01/19,15909,,,2952,13:15,Mostly Cloudy,24.00,46.00,"Updated 16:50 UTC+1:00",,,,,
02/01/19,15479,,,2892,13:00,Mostly Cloudy,24.00,46.00,"Updated 16:55 UTC+1:00",,,,,
01/01/19,9660,,,2628,12:35,Cloudy,22.00,43.00,"Updated 16:50 UTC+1:00",,,,,
31/12/18,14536,,,2823,13:15,Mostly Cloudy,22.00,46.00,"Updated 16:50 UTC+1:00",,,,,
30/12/18,13937,,,2924,12:10,Mostly Cloudy,0.00,45.00,"Updated 16:50 UTC+1:00",,,,,
29/12/18,14942,,,2855,13:30,Mostly Cloudy,22.00,45.00,"Updated 16:45 UTC+1:00",,,,,
28/12/18,8291,,,2788,12:10,Cloudy,23.00,40.00,"Updated 16:40 UTC+1:00",,,,,
27/12/18,11862,,,2530,13:30,Cloudy,24.00,42.00,"Updated 16:50 UTC+1:00",,,,,
26/12/18,13316,,,2719,12:15,Mostly Cloudy,24.00,44.00,"Updated 16:50 UTC+1:00",,,,,
25/12/18,14690,,,2749,12:55,Mostly Cloudy,23.00,46.00,"Updated 16:50 UTC+1:00",,,,,
24/12/18,11162,,,2646,12:35,Cloudy,0.00,43.00,"Updated 16:45 UTC+1:00",,,,,
23/12/18,12490,,,2863,13:20,Cloudy,20.00,44.00,"Updated 16:45 UTC+1:00",,,,,
22/12/18,11154,,,2861,13:20,Cloudy,0.00,43.00,"Updated 16:45 UTC+1:00",,,,,
21/12/18,2540,,,886,11:45,Showers,0.00,31.00,"Updated 16:25 UTC+1:00",,,,,
20/12/18,2384,,,1470,15:10,Showers,21.00,35.00,"Updated 16:30 UTC+1:00",,,,,
19/12/18,1794,,,813,11:00,Showers,20.00,31.00,"Updated 16:10 UTC+1:00",,,,,
18/12/18,10798,,,2793,13:10,Cloudy,20.00,42.00,"Updated 16:30 UTC+1:00",,,,,
17/12/18,2820,,,1029,15:30,Showers,20.00,33.00,"Updated 16:40 UTC+1:00",,,,,
16/12/18,3730,,,933,11:45,Showers,20.00,33.00,"Updated 16:00 UTC+1:00",,,,,
15/12/18,14164,,,2746,13:25,Mostly Cloudy,22.00,44.00,"Updated 16:35 UTC+1:00",,,,,
14/12/18,13070,,,2573,13:00,Cloudy,21.00,43.00,"Updated 16:40 UTC+1:00",,,,,
13/12/18,3672,,,1003,12:15,Showers,22.00,34.00,"Updated 16:15 UTC+1:00",,,,,
12/12/18,3466,,,824,11:30,Showers,23.00,34.00,"Updated 16:00 UTC+1:00",,,,,
11/12/18,15783,,,2972,13:20,Mostly Cloudy,23.00,46.00,"Updated 16:40 UTC+1:00",,,,,
10/12/18,15469,,,2893,13:10,Mostly Cloudy,25.00,47.00,"Updated 16:40 UTC+1:00",,,,,
09/12/18,15710,,,2923,12:55,Mostly Cloudy,24.00,47.00,"Updated 16:40 UTC+1:00",,,,,
08/12/18,16000,,,2940,13:10,Mostly Cloudy,24.00,47.00,"Updated 16:40 UTC+1:00",,,,,
07/12/18,11887,,,2980,12:15,Cloudy,0.00,43.00,"Updated 16:30 UTC+1:00",,,,,
06/12/18,8813,,,2438,12:05,Cloudy,0.00,41.00,"Updated 16:35 UTC+1:00",,,,,
05/12/18,11865,,,3035,13:10,Cloudy,22.00,45.00,"Updated 16:40 UTC+1:00",,,,,
04/12/18,15285,,,2868,12:50,Mostly Cloudy,23.00,45.00,"Updated 16:40 UTC+1:00",,,,,
03/12/18,11063,,,2800,12:15,Cloudy,23.00,43.00,"Updated 16:35 UTC+1:00",,,,,
02/12/18,8896,,,2226,14:30,Cloudy,0.00,40.00,"Updated 16:40 UTC+1:00",,,,,
01/12/18,2095,,,529,13:10,Showers,21.00,32.00,"Updated 16:30 UTC+1:00",,,,,
30/11/18,1521,,,655,13:00,Showers,21.00,32.00,"Updated 16:00 UTC+1:00",,,,,
29/11/18,9031,,,2651,11:50,Cloudy,25.00,41.00,"Updated 16:40 UTC+1:00",,,,,
28/11/18,15907,,,2963,13:05,Mostly Cloudy,22.00,46.00,"Updated 16:45 UTC+1:00",,,,,
27/11/18,14484,,,3103,14:20,Mostly Cloudy,21.00,46.00,"Updated 16:50 UTC+1:00",,,,,
26/11/18,6791,,,3245,11:35,Cloudy,23.00,39.00,"Updated 16:35 UTC+1:00",,,,,
25/11/18,7396,,,3266,13:20,Cloudy,0.00,44.00,"Updated 16:30 UTC+1:00",,,,,
24/11/18,12135,,,3694,12:30,Cloudy,21.00,45.00,"Updated 16:45 UTC+1:00",,,,,
23/11/18,1495,,,449,12:10,Showers,21.00,32.00,"Updated 16:00 UTC+1:00",,,,,
22/11/18,10955,,,3425,13:10,Cloudy,21.00,47.00,"Updated 16:40 UTC+1:00",,,,,
21/11/18,2210,,,396,09:35,Showers,21.00,32.00,"Updated 16:50 UTC+1:00",,,,,
20/11/18,5643,,,3379,13:55,Cloudy,21.00,41.00,"Updated 16:35 UTC+1:00",,,,,
19/11/18,3744,,,887,09:30,Showers,23.00,34.00,"Updated 16:20 UTC+1:00",,,,,
18/11/18,15496,,,2985,10:50,Mostly Cloudy,22.00,46.00,"Updated 16:50 UTC+1:00",,,,,
17/11/18,6646,,,3448,12:50,Cloudy,0.00,41.00,"Updated 16:50 UTC+1:00",,,,,
16/11/18,954,,,309,10:20,Showers,0.00,32.00,"Updated 16:25 UTC+1:00",,,,,
15/11/18,3805,,,937,13:10,Showers,0.00,35.00,"Updated 16:35 UTC+1:00",,,,,
14/11/18,12564,,,3294,12:20,Cloudy,0.00,47.00,"Updated 16:50 UTC+1:00",,,,,
13/11/18,11576,,,2506,12:50,Cloudy,22.00,43.00,"Updated 16:55 UTC+1:00",,,,,
12/11/18,2146,,,577,12:50,Showers,0.00,33.00,"Updated 16:35 UTC+1:00",,,,,
11/11/18,2793,,,920,12:30,Showers,0.00,34.00,"Updated 16:35 UTC+1:00",,,,,
10/11/18,1203,,,349,12:35,Showers,0.00,33.00,"Updated 15:55 UTC+1:00",,,,,
09/11/18,3369,,,1029,11:45,Showers,23.00,35.00,"Updated 16:30 UTC+1:00",,,,,
08/11/18,3643,,,1028,12:20,Showers,22.00,35.00,"Updated 15:45 UTC+1:00",,,,,
07/11/18,8498,,,3591,11:40,Cloudy,22.00,44.00,"Updated 16:50 UTC+1:00",,,,,
06/11/18,2272,,,1335,09:45,Showers,0.00,35.00,"Updated 16:25 UTC+1:00",,,,,
05/11/18,2427,,,1119,10:40,Showers,0.00,35.00,"Updated 16:45 UTC+1:00",,,,,
04/11/18,3507,,,1385,12:10,Showers,23.00,37.00,"Updated 16:30 UTC+1:00",,,,,
03/11/18,3409,,,2079,12:50,Showers,0.00,38.00,"Updated 16:55 UTC+1:00",,,,,
02/11/18,9559,,,4072,14:00,Cloudy,22.00,45.00,"Updated 17:10 UTC+1:00",,,,,
01/11/18,2775,,,2350,15:35,Showers,0.00,38.00,"Updated 16:45 UTC+1:00",,,,,
31/10/18,1494,,,942,11:45,Showers,0.00,33.00,"Updated 16:00 UTC+1:00",,,,,
30/10/18,12828,,,3853,13:20,Cloudy,0.00,47.00,"Updated 17:10 UTC+1:00",,,,,
29/10/18,1196,,,1041,11:30,Showers,0.00,33.00,"Updated 16:55 UTC+1:00",,,,,
28/10/18,3048,,,920,10:20,Showers,0.00,34.00,"Updated 16:25 UTC+1:00",,,,,
27/10/18,4769,,,2938,13:30,Showers,0.00,41.00,"Updated 17:20 UTC+2:00",,,,,
26/10/18,6232,,,1672,12:40,Cloudy,0.00,40.00,"Updated 18:05 UTC+2:00",,,,,
25/10/18,20000,,,3305,13:25,Mostly Cloudy,0.00,50.00,"Updated 18:20 UTC+2:00",,,,,
24/10/18,21093,,,3346,13:35,Mostly Cloudy,0.00,50.00,"Updated 18:25 UTC+2:00",,,,,
23/10/18,19944,,,3480,13:40,Mostly Cloudy,24.00,50.00,"Updated 18:25 UTC+2:00",,,,,
22/10/18,21916,,,3432,14:00,Mostly Cloudy,0.00,50.00,"Updated 18:40 UTC+2:00",,,,,
21/10/18,16609,,,3140,14:30,Mostly Cloudy,27.00,49.00,"Updated 18:20 UTC+2:00",,,,,
20/10/18,19247,,,3243,13:30,Mostly Cloudy,25.00,49.00,"Updated 18:31 UTC+2:00",,,,,
19/10/18,18654,,,3372,13:30,Mostly Cloudy,24.00,49.00,"Updated 18:30 UTC+2:00",,,,,
18/10/18,18604,,,3599,13:55,Mostly Cloudy,0.00,49.00,"Updated 18:35 UTC+2:00",,,,,
